00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000
2182617e-07,00000000000,00000000000,00000000000,00000000000,00000000000,2753906e-07,00000000000,1572266e-07,00000000000,00000000000,00000000000,00000000000,00000000000,1547852e-07,00000000000,1762695e-07,00000000000,00000000000,00000000000,00000000000,00000000000,2958984e-07,00000000000,2207031e-07,00000000000,00000000000,00000000000,00000000000,00000000000,2851562e-07,00000000000,1323242e-07,00000000000,00000000000,00000000000,00000000000,00000000000,3164062e-07,00000000000,4040527e-08,00000000000,00000000000,00000000000,00000000000,00000000000,7305145e-10,00000000000,1166992e-07,00000000000,00000000000,00000000000,00000000000,00000000000,1547852e-07,00000000000,5932617e-08,00000000000,00000000000,00000000000,00000000000,00000000000,2333984e-07,00000000000
3505859e-07,00000000000,00000000000,00000000000,00000000000,00000000000,4433594e-07,00000000000,2529297e-07,00000000000,00000000000,00000000000,00000000000,00000000000,2485352e-07,00000000000,2832031e-07,00000000000,00000000000,00000000000,00000000000,00000000000,4755859e-07,00000000000,3544922e-07,00000000000,00000000000,00000000000,00000000000,00000000000,4580078e-07,00000000000,2128906e-07,00000000000,00000000000,00000000000,00000000000,00000000000,5078125e-07,00000000000,6494141e-08,00000000000,00000000000,00000000000,00000000000,00000000000,1171112e-09,00000000000,1875000e-07,00000000000,00000000000,00000000000,00000000000,00000000000,2485352e-07,00000000000,9545898e-08,00000000000,00000000000,00000000000,00000000000,00000000000,3750000e-07,00000000000
4306641e-07,00000000000,3447266e-07,00000000000,00000000000,3027344e-08,5449219e-07,00000000000,3105469e-07,00000000000,1459961e-07,00000000000,00000000000,1057128e-07,3056641e-07,00000000000,3486328e-07,00000000000,2724609e-07,00000000000,00000000000,1875000e-07,5839844e-07,00000000000,4355469e-07,00000000000,1748047e-07,00000000000,00000000000,1801758e-07,5625000e-07,00000000000,2617188e-07,00000000000,5395508e-08,00000000000,00000000000,2192383e-07,6250000e-07,00000000000,7983398e-08,00000000000,2919922e-07,00000000000,00000000000,1211547e-08,1441955e-09,00000000000,2304688e-07,00000000000,2490234e-07,00000000000,00000000000,1875000e-07,3056641e-07,00000000000,1171875e-07,00000000000,2236328e-07,00000000000,00000000000,1640625e-07,4609375e-07,00000000000
4804688e-07,1918945e-07,5527344e-07,00000000000,00000000000,4858398e-08,6054688e-07,00000000000,3457031e-07,2471924e-08,2348633e-07,00000000000,00000000000,1699219e-07,3398438e-07,00000000000,3876953e-07,1743164e-07,4384766e-07,00000000000,00000000000,3017578e-07,6503906e-07,00000000000,4853516e-07,2084961e-07,2812500e-07,00000000000,00000000000,2900391e-07,6269531e-07,00000000000,2910156e-07,1352539e-07,8666992e-08,00000000000,00000000000,3515625e-07,6953125e-07,00000000000,8886719e-08,3671875e-07,4697266e-07,00000000000,00000000000,1947021e-08,1605987e-09,00000000000,2568359e-07,2716064e-08,4003906e-07,00000000000,00000000000,3017578e-07,3398438e-07,00000000000,1303711e-07,5627441e-08,3593750e-07,00000000000,00000000000,2636719e-07,5136719e-07,00000000000
5097656e-07,3085938e-07,6796875e-07,1870117e-07,00000000000,5981445e-08,6425781e-07,00000000000,3671875e-07,3967285e-08,2890625e-07,2412109e-07,00000000000,2089844e-07,3613281e-07,00000000000,4121094e-07,2802734e-07,5390625e-07,3564453e-07,00000000000,3701172e-07,6894531e-07,00000000000,5136719e-07,3349609e-07,3457031e-07,8984375e-08,00000000000,3564453e-07,6640625e-07,00000000000,3085938e-07,2177734e-07,1066894e-07,4736328e-08,00000000000,4326172e-07,7382812e-07,00000000000,9423828e-08,5898438e-07,5781250e-07,3779297e-07,00000000000,2392578e-08,2744810e-12,00000000000,2724609e-07,4370117e-08,4921875e-07,8227539e-08,00000000000,3701172e-07,3613281e-07,00000000000,1381836e-07,9033203e-08,4414062e-07,1870117e-07,00000000000,3232422e-07,5449219e-07,00000000000
5273438e-07,3789062e-07,7578125e-07,3007812e-07,00000000000,6640625e-08,6660156e-07,00000000000,3808594e-07,4882812e-08,3212891e-07,3876953e-07,00000000000,2324219e-07,3740234e-07,00000000000,4267578e-07,3437500e-07,5996094e-07,5722656e-07,00000000000,4130859e-07,7148438e-07,00000000000,5332031e-07,4111328e-07,3847656e-07,1440430e-07,00000000000,3964844e-07,6894531e-07,00000000000,3203125e-07,2675781e-07,1186523e-07,7617188e-08,00000000000,4814453e-07,7656250e-07,00000000000,9765625e-08,7265625e-07,6425781e-07,6074219e-07,00000000000,2661133e-08,8848320e-12,00000000000,2822266e-07,5371094e-08,5468750e-07,1323242e-07,00000000000,4130859e-07,3740234e-07,00000000000,1435547e-07,1110839e-07,4921875e-07,3007812e-07,00000000000,3603516e-07,5644531e-07,00000000000
5390625e-07,4218750e-07,8046875e-07,3701172e-07,00000000000,7055664e-08,6796875e-07,3046875e-07,3886719e-07,5432129e-08,3408203e-07,4765625e-07,00000000000,2465820e-07,3818359e-07,7421875e-08,4355469e-07,3828125e-07,6367188e-07,7050781e-07,00000000000,4375000e-07,7285156e-07,1435547e-07,5449219e-07,4580078e-07,4082031e-07,1772461e-07,00000000000,4208984e-07,7031250e-07,2792969e-07,3271484e-07,2978516e-07,1259766e-07,9350586e-08,00000000000,5097656e-07,7812500e-07,2880859e-07,9960938e-08,8085938e-07,6816406e-07,7460938e-07,00000000000,2825928e-08,1228155e-10,3417969e-08,2880859e-07,5981445e-08,5800781e-07,1625977e-07,00000000000,4375000e-07,3818359e-07,8471680e-08,1464844e-07,1237793e-07,5214844e-07,3701172e-07,00000000000,3828125e-07,5761719e-07,3457031e-07
5449219e-07,4472656e-07,8339844e-07,4121094e-07,1357422e-07,7299805e-08,6875000e-07,4902344e-07,3925781e-07,5761719e-08,3535156e-07,5292969e-07,1435547e-07,2548828e-07,3867188e-07,1193847e-07,4404297e-07,4062500e-07,6582031e-07,7851562e-07,7934570e-08,4541016e-07,7382812e-07,2309570e-07,5507812e-07,4863281e-07,4228516e-07,1972656e-07,1567383e-07,4365234e-07,7109375e-07,4492188e-07,3310547e-07,3164062e-07,1303711e-07,1042480e-07,1247558e-07,5292969e-07,7890625e-07,4628906e-07,1008300e-07,8574219e-07,7070312e-07,8300781e-07,3076172e-07,2929688e-08,1457037e-10,5493164e-08,2919922e-07,6347656e-08,6015625e-07,1811523e-07,3710938e-07,4541016e-07,3867188e-07,1362305e-07,1479492e-07,1313477e-07,5410156e-07,4121094e-07,3085938e-07,3964844e-07,5839844e-07,5566406e-07
5488281e-07,4638672e-07,8496094e-07,4365234e-07,2182617e-07,7470703e-08,6933594e-07,6015625e-07,3964844e-07,5969238e-08,3613281e-07,5625000e-07,2309570e-07,2607422e-07,3896484e-07,1464844e-07,4443359e-07,4208984e-07,6718750e-07,8320312e-07,1274414e-07,4628906e-07,7441406e-07,2832031e-07,5546875e-07,5039062e-07,4316406e-07,2094727e-07,2519531e-07,4453125e-07,7167969e-07,5527344e-07,3330078e-07,3281250e-07,1333008e-07,1105957e-07,2006836e-07,5410156e-07,7968750e-07,5683594e-07,1018066e-07,8886719e-07,7226562e-07,8808594e-07,4951172e-07,2990723e-08,1609625e-10,6738281e-08,2939453e-07,6567383e-08,6132812e-07,1918945e-07,5957031e-07,4628906e-07,3896484e-07,1674805e-07,1494141e-07,1362305e-07,5507812e-07,4365234e-07,4960938e-07,4042969e-07,5878906e-07,6835938e-07
